"","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logPVal","significant","chromosome_name","start_position","end_position","strand","gene_biotype","external_gene_name","description"
"1","ENSMUSG00000027342",5613.50205228428,1.65372843899371,0.0515523790316334,32.0786056833372,8.7653777888888e-226,1.8655353548092e-221,220.729196515986,"both","2",132091082,132095234,-1,"protein_coding","Pcna","proliferating cell nuclear antigen [Source:MGI Symbol;Acc:MGI:97503]"
"2","ENSMUSG00000040204",1668.41628354898,3.69380531962163,0.11764766663043,31.3971830076757,2.2106979662108e-216,2.35251424074322e-212,211.628467738928,"both","9",65797519,65810548,1,"protein_coding","Pclaf","PCNA clamp associated factor [Source:MGI Symbol;Acc:MGI:1915276]"
"3","ENSMUSG00000005470",877.807379497505,3.09821456533696,0.102575254828106,30.2043077594971,2.07933042936912e-200,1.47514631760877e-196,195.831164900514,"both","8",84682136,84696826,1,"protein_coding","Asf1b","anti-silencing function 1B histone chaperone [Source:MGI Symbol;Acc:MGI:1914179]"
"4","ENSMUSG00000020649",2250.36807063739,3.26609472056814,0.109356907535297,29.8663778464469,5.38045384858088e-196,2.86280498148367e-192,191.543208235754,"both","12",24758240,24764145,1,"protein_coding","Rrm2","ribonucleotide reductase M2 [Source:MGI Symbol;Acc:MGI:98181]"
"5","ENSMUSG00000026355",2275.79141047615,2.94452289483178,0.105446531752897,27.9243218898082,1.35202928489719e-171,5.7550478540934e-168,167.239951060795,"both","1",128259327,128287401,-1,"protein_coding","Mcm6","minichromosome maintenance complex component 6 [Source:MGI Symbol;Acc:MGI:1298227]"
"6","ENSMUSG00000041859",2063.88846009671,2.35700330010429,0.0861822502160926,27.349057308139,1.1081384162432e-164,3.93075165215066e-161,160.405524394366,"both","1",20873192,20890536,-1,"protein_coding","Mcm3","minichromosome maintenance complex component 3 [Source:MGI Symbol;Acc:MGI:101845]"
"7","ENSMUSG00000012443",1380.77683722693,2.97225154691497,0.109372262033114,27.1755515673167,1.26367604019608e-162,3.84211673764188e-159,158.41542944381,"both","19",37364851,37410307,1,"protein_coding","Kif11","kinesin family member 11 [Source:MGI Symbol;Acc:MGI:1098231]"
"8","ENSMUSG00000025395",519.060010155801,2.39544977293353,0.0891446421997816,26.8714946161891,4.7312091466387e-159,1.25867905334889e-155,154.900084995173,"both","10",127851037,127865906,1,"protein_coding","Prim1","DNA primase, p49 subunit [Source:MGI Symbol;Acc:MGI:97757]"
"9","ENSMUSG00000001228",1677.88358402035,3.41955609492103,0.129981156665966,26.3080909774393,1.54960668501528e-152,3.66447545302002e-149,148.435988183141,"both","17",56610321,56630486,1,"protein_coding","Uhrf1","ubiquitin-like, containing PHD and RING finger domains, 1 [Source:MGI Symbol;Acc:MGI:1338889]"
"10","ENSMUSG00000028702",446.071645556938,3.57805551095563,0.137402134596417,26.0407563642679,1.71216621818471e-149,3.64400336216252e-146,145.438421230994,"both","4",115951461,115980887,-1,"protein_coding","Rad54l","RAD54 like (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:894697]"
